번호,호텔명,네이버 호텔 ID,비고
,한화리조트 쏘라노(설악),N1740975,
,한화리조트 경주 담톤(스위트),KYK10529737,
,[펫동반] 소노펫 비발디파크(실버 Pet Club),N5283663,
,포남스테이 강릉,,
,서울 신라호텔,N1201279,
,파크 하얏트 부산,N1873365,
,소피텔 앰버서더 서울,N5286737,
,조선팰리스 서울 강남,N5285488,
,그랜드 조선 부산,N5260901,
,파르나스 호텔 제주,N5287649,
,[풀빌라] 비브릿지 그랜드풀빌라,,
,한화리조트 거제 벨버디어(스위트),N4689347,
,대명리조트 쏠비치 삼척,N5258733,
,대명리조트 쏠비치 삼척(호텔),N3025305,
,포시즌스호텔 서울,N2922737,
,대명리조트 소노캄 제주(서귀포),N1183849,
,대명리조트 소노벨 제주,N1659173,
,대명리조트 쏠비치 남해(호텔),KYK1072601994,
,파나크 영덕(호텔),KYK1072152314,
,설해원 설해온천,,
,대명리조트 쏠비치 양양,N1645576,
,신라스테이 전주,KYK1071518096,
,대명리조트 쏠비치 양양(호텔),N1645576,
,대명리조트 쏠비치 진도,N4994836,
,대명리조트 소노캄 델피노(설악),,
,대명리조트 소노벨 비발디파크,N5302465,
,대명리조트 소노캄 거제,N2015685,
,대명리조트 소노벨 변산,N1870067,
,대명리조트 소노캄 경주,N1658688,
,대명리조트 소노벨 청송,N3775382,
,대명리조트 소노벨 천안,N1716030,
,대명리조트 소노캄 여수(호텔),N1894378,
,금호리조트 제주,N1740961,
,금호리조트 통영마리나,N1864303,
,금호리조트 설악,N1660672,
,휘닉스아일랜드 제주,N1660466,
,모나용평 비체팰리스(무창포),N1711333,
,모나용평 그린피아,N1660590,
,모나용평 빌라,N2631504,
,호반리솜리조트 포레스트(제천),N5294504,
,호반리솜리조트 스플라스(덕산),N3775147,
,호반리솜리조트 아일랜드(안면도),N3775861,
,사이프러스리조트,,
,디오션리조트 여수(26평),N2367450,
,롯데리조트 부여,N2367456,
,롯데리조트 속초,N3286981,
,오크밸리 힐스빌리지(스키빌리지),KYK11194266,
,오크밸리 밸리빌리지(골프빌리지),,
,무주덕유산리조트,N4006240,
,알펜시아리조트,N1529260,
,웰리힐리파크,N2367597,
,[한옥독채] 이재(전주),,
,롯데 시그니엘 서울,N3121650,
,롯데호텔 월드(잠실),N1221982,
,롯데 시그니엘 부산(해운대),N5038617,
,롯데호텔 부산(서면),N2632505,
,한화리조트 산정호수안시,N1720860,
,롯데호텔 제주,N1053569,
,한화리조트 해운대 티볼리,N1658770,
,디오션리조트 여수(36평),N2367450,
,한화리조트 대천파로스(스위트),N1715081,